type,domain,modelLevel,utterance,rationality,response,modelProb
branching,artifact,pragmatic,furniture,1.8,chair,0.22
branching,artifact,pragmatic,furniture,1.8,table,0.27
branching,artifact,pragmatic,furniture,1.8,lawnmower,0.22
branching,artifact,explicit,furniture,1.8,couch,0.54
branching,artifact,explicit,furniture,1.8,chair,0.17
branching,artifact,explicit,furniture,1.8,table,0.19
branching,artifact,explicit,furniture,1.8,lawnmower,0.10
branching,artifact,literal,couch,1.8,lawnmower,0.25
branching,artifact,literal,couch,1.8,table,0.25
branching,artifact,literal,couch,1.8,chair,0.25
branching,artifact,literal,couch,1.8,couch,0.25
branching,artifact,pragmatic,couch,1.8,couch,0.35
branching,artifact,pragmatic,couch,1.8,chair,0.20
branching,artifact,pragmatic,couch,1.8,table,0.23
branching,artifact,pragmatic,couch,1.8,lawnmower,0.22
branching,artifact,explicit,couch,1.8,couch,0.71
branching,artifact,explicit,couch,1.8,chair,0.10
branching,artifact,explicit,couch,1.8,table,0.10
branching,artifact,explicit,couch,1.8,lawnmower,0.10
branching,artifact,literal,thing,1.9,lawnmower,0.25
branching,artifact,literal,thing,1.9,table,0.25
branching,artifact,literal,thing,1.9,chair,0.25
branching,artifact,literal,thing,1.9,couch,0.25
branching,artifact,pragmatic,thing,1.9,couch,0.16
branching,artifact,pragmatic,thing,1.9,chair,0.21
branching,artifact,pragmatic,thing,1.9,table,0.27
branching,artifact,pragmatic,thing,1.9,lawnmower,0.36
branching,artifact,explicit,thing,1.9,couch,0.11
branching,artifact,explicit,thing,1.9,chair,0.19
branching,artifact,explicit,thing,1.9,table,0.22
branching,artifact,explicit,thing,1.9,lawnmower,0.49
branching,artifact,literal,seat,1.9,lawnmower,0.25
branching,artifact,literal,seat,1.9,table,0.25
branching,artifact,literal,seat,1.9,chair,0.25
branching,artifact,literal,seat,1.9,couch,0.25
branching,artifact,pragmatic,seat,1.9,couch,0.19
branching,artifact,pragmatic,seat,1.9,chair,0.37
branching,artifact,pragmatic,seat,1.9,table,0.23
branching,artifact,pragmatic,seat,1.9,lawnmower,0.21
branching,artifact,explicit,seat,1.9,couch,0.24
branching,artifact,explicit,seat,1.9,chair,0.58
branching,artifact,explicit,seat,1.9,table,0.09
branching,artifact,explicit,seat,1.9,lawnmower,0.09
branching,artifact,literal,furniture,1.9,lawnmower,0.25
branching,artifact,literal,furniture,1.9,table,0.25
branching,artifact,literal,furniture,1.9,chair,0.25
branching,artifact,literal,furniture,1.9,couch,0.25
branching,artifact,pragmatic,furniture,1.9,couch,0.29
branching,artifact,pragmatic,furniture,1.9,chair,0.22
branching,artifact,pragmatic,furniture,1.9,table,0.27
branching,artifact,pragmatic,furniture,1.9,lawnmower,0.22
branching,artifact,explicit,furniture,1.9,couch,0.55
branching,artifact,explicit,furniture,1.9,chair,0.16
branching,artifact,explicit,furniture,1.9,table,0.19
branching,artifact,explicit,furniture,1.9,lawnmower,0.09
branching,artifact,literal,couch,1.9,lawnmower,0.25
branching,artifact,literal,couch,1.9,table,0.25
branching,artifact,literal,couch,1.9,chair,0.25
branching,artifact,literal,couch,1.9,couch,0.25
branching,artifact,pragmatic,couch,1.9,couch,0.36
branching,artifact,pragmatic,couch,1.9,chair,0.19
branching,artifact,pragmatic,couch,1.9,table,0.23
branching,artifact,pragmatic,couch,1.9,lawnmower,0.21
branching,artifact,explicit,couch,1.9,couch,0.73
branching,artifact,explicit,couch,1.9,chair,0.09
branching,artifact,explicit,couch,1.9,table,0.09
branching,artifact,explicit,couch,1.9,lawnmower,0.09
branching,artifact,literal,thing,2.0,lawnmower,0.25
branching,artifact,literal,thing,2.0,table,0.25
branching,artifact,literal,thing,2.0,chair,0.25
branching,artifact,literal,thing,2.0,couch,0.25
branching,artifact,pragmatic,thing,2.0,couch,0.15
branching,artifact,pragmatic,thing,2.0,chair,0.21
branching,artifact,pragmatic,thing,2.0,table,0.27
branching,artifact,pragmatic,thing,2.0,lawnmower,0.37
branching,artifact,explicit,thing,2.0,couch,0.10
branching,artifact,explicit,thing,2.0,chair,0.18
branching,artifact,explicit,thing,2.0,table,0.22
branching,artifact,explicit,thing,2.0,lawnmower,0.50
branching,artifact,literal,seat,2.0,lawnmower,0.25
branching,artifact,literal,seat,2.0,table,0.25
branching,artifact,literal,seat,2.0,chair,0.25
branching,artifact,literal,seat,2.0,couch,0.25
branching,artifact,pragmatic,seat,2.0,couch,0.18
branching,artifact,pragmatic,seat,2.0,chair,0.39
branching,artifact,pragmatic,seat,2.0,table,0.23
branching,artifact,pragmatic,seat,2.0,lawnmower,0.20
branching,artifact,explicit,seat,2.0,couch,0.24
branching,artifact,explicit,seat,2.0,chair,0.59
branching,artifact,explicit,seat,2.0,table,0.08
branching,artifact,explicit,seat,2.0,lawnmower,0.08
branching,artifact,literal,furniture,2.0,lawnmower,0.25
branching,artifact,literal,furniture,2.0,table,0.25
branching,artifact,literal,furniture,2.0,chair,0.25
branching,artifact,literal,furniture,2.0,couch,0.25
branching,artifact,pragmatic,furniture,2.0,couch,0.30
branching,artifact,pragmatic,furniture,2.0,chair,0.21
branching,artifact,pragmatic,furniture,2.0,table,0.28
branching,artifact,pragmatic,furniture,2.0,lawnmower,0.21
branching,artifact,explicit,furniture,2.0,couch,0.57
branching,artifact,explicit,furniture,2.0,chair,0.16
branching,artifact,explicit,furniture,2.0,table,0.19
branching,artifact,explicit,furniture,2.0,lawnmower,0.08
branching,artifact,literal,couch,2.0,lawnmower,0.25
branching,artifact,literal,couch,2.0,table,0.25
branching,artifact,literal,couch,2.0,chair,0.25
branching,artifact,literal,couch,2.0,couch,0.25
branching,artifact,pragmatic,couch,2.0,couch,0.38
branching,artifact,pragmatic,couch,2.0,chair,0.19
branching,artifact,pragmatic,couch,2.0,table,0.23
branching,artifact,pragmatic,couch,2.0,lawnmower,0.20
branching,artifact,explicit,couch,2.0,couch,0.75
branching,artifact,explicit,couch,2.0,chair,0.08
branching,artifact,explicit,couch,2.0,table,0.08
branching,artifact,explicit,couch,2.0,lawnmower,0.08
branching,artifact,literal,thing,2.1,lawnmower,0.25
branching,artifact,literal,thing,2.1,table,0.25
branching,artifact,literal,thing,2.1,chair,0.25
branching,artifact,literal,thing,2.1,couch,0.25
