workerid	trial_type	other	response	sentence_type
25	shirt_prBASIC	 	0.86	sub
25	shirt_prBASIC	 	0.86	id
25	shirt_prBASIC	 	0.21	sup
25	car_prANY	 	0.84	sub
25	car_prANY	 	0.43	sup
25	car_prANY	 	0.43	sib
25	car_prANY	 	0.91	id
25	food_info	 	0.64	sub
25	food_info	 	0.88	id
25	food_info	 	0.2	sup
25	food_info	 	0.2	sib
26	food_prANY	 I have mexican food.	0.17	sib
26	food_prANY	 I have mexican food.	0.76	sub
26	food_prANY	 I have mexican food.	0.45	sup
26	food_prANY	 I have mexican food.	0.97	id
26	shirt_prBASIC	 I have a shirt	0.7	sub
26	shirt_prBASIC	 I have a shirt	0.5	sup
26	shirt_prBASIC	 I have a shirt	0.81	id
26	shirt_prBASIC	 I have a shirt	0.16	sib
26	car_conv	 I have a car	0.62	sib
26	car_conv	 I have a car	0.63	sub
26	car_conv	 I have a car	0.92	id
26	car_conv	 I have a car	0.64	sup
26	dog_conv	 I have a dog	0.48	sib
26	dog_conv	 I have a dog	0.48	sup
26	dog_conv	 I have a dog	0.96	id
26	dog_conv	 I have a dog	0.8	sub
27	dog_conv	 	0.36	sup
27	dog_conv	 	1	id
27	dog_conv	 	1	sub
27	dog_conv	 	0.78	sib
27	food_prANY	 	0.68	sib
27	food_prANY	 	1	id
27	food_prANY	 	0.56	sup
27	food_prANY	 	0.98	sub
27	shirt_info	 	0.36	sup
27	shirt_info	 	0.44	sib
27	shirt_info	 	1	sub
27	shirt_info	 	1	id
27	car_conv	 	1	id
27	car_conv	 	0.49	sup
27	car_conv	 	0.92	sib
27	car_conv	 	1	sub
28	shirt_prBASIC	 	1	id
28	shirt_prBASIC	 	0.71	sub
28	shirt_prBASIC	 	0.13	sib
28	shirt_prBASIC	 	0.05	sup
28	car_info	 	0.8	sib
28	car_info	 	0.62	sub
28	car_info	 	0.99	id
28	car_info	 	0.72	sup
28	food_prANY	 	0.18	sup
28	food_prANY	 	0.76	sub
28	food_prANY	 	0.1	sib
28	food_prANY	 	0.72	id
28	dog_conv	 	0.01	sup
28	dog_conv	 	0.72	sib
28	dog_conv	 	0.93	id
28	dog_conv	 	0.96	sub
29	food_prANY	 	0.43	sib
29	food_prANY	 	0.72	sub
29	food_prANY	 	0.98	id
29	food_prANY	 	0.41	sup
29	dog_conv	 	0.28	sib
29	dog_conv	 	0.07	sup
29	dog_conv	 	0.97	sub
29	dog_conv	 	0.97	id
29	car_prANY	 	0.29	sup
29	car_prANY	 	0.94	sub
29	car_prANY	 	0.88	sib
29	car_prANY	 	0.97	id
29	shirt_prANY	 	0.24	sup
29	shirt_prANY	 	0.19	sib
29	shirt_prANY	 	0.93	sub
29	shirt_prANY	 	0.98	id
